,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_checkin_type,previous_delay_at_checkout_in_minutes,delay_status
1262,540269,403153,mobile,ended,-134.0,537244.0,660.0,mobile,-17.0,On time
1263,541911,348294,connect,canceled,,544326.0,720.0,connect,-62.0,On time
1264,542561,374684,mobile,ended,-1.0,545068.0,720.0,mobile,-31.0,On time
1265,544004,192409,mobile,ended,40.0,506069.0,270.0,mobile,159.0,Late
1266,544056,289570,mobile,ended,2725.0,534205.0,30.0,mobile,-14.0,On time
1267,544158,242437,mobile,ended,3.0,542867.0,0.0,mobile,-14.0,On time
1268,540194,392479,mobile,ended,9.0,556565.0,360.0,mobile,-28.0,On time
1269,542241,390467,connect,ended,-16.0,537405.0,0.0,connect,95.0,Late
1270,543055,405005,connect,ended,-26.0,551169.0,720.0,connect,58.0,Late
1271,543269,365961,mobile,ended,-115.0,535195.0,210.0,mobile,-825.0,On time
1272,543781,342154,connect,canceled,,537496.0,240.0,connect,47.0,Late
1273,543861,358082,connect,ended,-41.0,542942.0,120.0,connect,-106.0,On time
1274,545265,387753,connect,ended,-483.0,546021.0,720.0,connect,-5.0,On time
1275,546214,386880,mobile,ended,1203.0,536671.0,330.0,mobile,-12.0,On time
1276,546641,371387,mobile,ended,-1005.0,549907.0,60.0,mobile,4.0,Late
1277,546943,368432,mobile,ended,0.0,560801.0,0.0,mobile,3.0,Late
1278,547430,411521,mobile,ended,-3.0,547755.0,210.0,mobile,62.0,Late
1279,549462,381708,connect,ended,142.0,548698.0,60.0,connect,13.0,Late
1280,551892,376491,connect,ended,-96.0,550998.0,540.0,connect,-56.0,On time
1281,551957,359045,connect,ended,3.0,546597.0,30.0,connect,-69.0,On time
1282,551983,264870,mobile,ended,-1.0,550875.0,150.0,mobile,-129.0,On time
1283,552582,251447,connect,ended,-60.0,549512.0,630.0,connect,-165.0,On time
1284,544605,304392,connect,ended,-7.0,528643.0,120.0,connect,13.0,Late
1285,544762,300505,connect,ended,-67.0,548050.0,90.0,connect,-538.0,On time
1286,545486,336522,mobile,ended,6.0,545384.0,420.0,mobile,31.0,Late
1287,545731,409227,mobile,ended,-12.0,545485.0,300.0,mobile,51.0,Late
1288,547103,392656,mobile,ended,,542106.0,450.0,mobile,,On time
1289,547299,321676,mobile,ended,-156.0,549756.0,30.0,mobile,3.0,Late
1290,548190,349678,connect,canceled,,547238.0,180.0,connect,-652.0,On time
